=== QUICK SORT ===
---------------------------------------
Initial : 14, 94, 82, 24, 96, 12, 81, 78, 42, 20, 81, 21, 42, 86, 15, 100, 94, 2, 54, 66
Pass 1 : 14, 2, 15, 20, 12, 96, 81, 78, 42, 24, 81, 21, 42, 86, 82, 100, 94, 94, 54, 66
Pass 2 : 14, 2, 12, 20, 15, 96, 81, 78, 42, 24, 81, 21, 42, 86, 82, 100, 94, 94, 54, 66
Pass 3 : 2, 14, 12, 20, 15, 96, 81, 78, 42, 24, 81, 21, 42, 86, 82, 100, 94, 94, 54, 66
Pass 4 : 2, 12, 14, 20, 15, 96, 81, 78, 42, 24, 81, 21, 42, 86, 82, 100, 94, 94, 54, 66
Pass 5 : 2, 12, 14, 15, 20, 96, 81, 78, 42, 24, 81, 21, 42, 86, 82, 100, 94, 94, 54, 66
Pass 6 : 2, 12, 14, 15, 20, 42, 21, 24, 42, 78, 81, 81, 96, 86, 82, 100, 94, 94, 54, 66
Pass 7 : 2, 12, 14, 15, 20, 21, 42, 24, 42, 78, 81, 81, 96, 86, 82, 100, 94, 94, 54, 66
Pass 8 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 78, 81, 81, 96, 86, 82, 100, 94, 94, 54, 66
Pass 9 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 78, 81, 81, 66, 54, 82, 100, 94, 94, 86, 96
Pass 10 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 78, 54, 66, 81, 81, 82, 100, 94, 94, 86, 96
Pass 11 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 78, 66, 81, 81, 82, 100, 94, 94, 86, 96
Pass 12 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 100, 94, 94, 86, 96
Pass 13 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 100, 94, 94, 86, 96
Pass 14 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 86, 94, 94, 100, 96
Pass 15 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 86, 94, 94, 100, 96
Pass 16 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 86, 94, 94, 96, 100
Pass 17 : 2, 12, 14, 15, 20, 21, 24, 42, 42, 54, 66, 78, 81, 81, 82, 86, 94, 94, 96, 100
